"WEEK","ISOWEEKS","YEARWEEK","SUM","PRICE","PROMO","CATEGORY"
1,1989-01-01 12:00:00,"1989-00",177538,0.575,1,"FrontEnd Candies"
1,1989-01-01 12:00:00,"1989-00",170067,0.95,1,"Frozen Juice"
1,1989-01-01 12:00:00,"1989-00",138771,1.88,1,"Bottled Juice"
1,1989-01-01 12:00:00,"1989-00",478899,1.99,1,"Soft Drink"
2,1989-01-08 12:00:00,"1989-01",174278,0.575,1,"FrontEnd Candies"
2,1989-01-08 12:00:00,"1989-01",140251,1.04,1,"Frozen Juice"
2,1989-01-08 12:00:00,"1989-01",89902,1.79,1,"Bottled Juice"
2,1989-01-08 12:00:00,"1989-01",482949,1.095,1,"Soft Drink"
3,1989-01-15 12:00:00,"1989-02",169752,0.625,1,"FrontEnd Candies"
3,1989-01-15 12:00:00,"1989-02",135746,1.14,1,"Frozen Juice"
3,1989-01-15 12:00:00,"1989-02",90775,1.78,1,"Bottled Juice"
3,1989-01-15 12:00:00,"1989-02",570137,1.99,1,"Soft Drink"
4,1989-01-22 12:00:00,"1989-03",172676,0.7,1,"FrontEnd Candies"
4,1989-01-22 12:00:00,"1989-03",197910,1.14,1,"Frozen Juice"
4,1989-01-22 12:00:00,"1989-03",97718,1.7,1,"Bottled Juice"
4,1989-01-22 12:00:00,"1989-03",798711,1.14,1,"Soft Drink"
5,1989-01-29 12:00:00,"1989-04",167725,0.7,1,"FrontEnd Candies"
5,1989-01-29 12:00:00,"1989-04",141037,1.19,1,"Frozen Juice"
5,1989-01-29 12:00:00,"1989-04",104940,1.555,1,"Bottled Juice"
5,1989-01-29 12:00:00,"1989-04",665967,4.99,1,"Soft Drink"
6,1989-02-05 12:00:00,"1989-05",169454,0.425,1,"FrontEnd Candies"
6,1989-02-05 12:00:00,"1989-05",115276,1.14,1,"Frozen Juice"
6,1989-02-05 12:00:00,"1989-05",85167,1.96,1,"Bottled Juice"
6,1989-02-05 12:00:00,"1989-05",474853,1.095,1,"Soft Drink"
7,1989-02-12 12:00:00,"1989-06",137547,0.4,0,"FrontEnd Candies"
7,1989-02-12 12:00:00,"1989-06",123381,1.19,1,"Frozen Juice"
7,1989-02-12 12:00:00,"1989-06",114063,1.49,1,"Bottled Juice"
7,1989-02-12 12:00:00,"1989-06",649536,1.29,1,"Soft Drink"
8,1989-02-19 12:00:00,"1989-07",133348,0.575,1,"FrontEnd Candies"
8,1989-02-19 12:00:00,"1989-07",177457,1.19,1,"Frozen Juice"
8,1989-02-19 12:00:00,"1989-07",110740,1.78,1,"Bottled Juice"
8,1989-02-19 12:00:00,"1989-07",563238,1.59,1,"Soft Drink"
9,1989-02-26 12:00:00,"1989-08",154926,0.575,1,"FrontEnd Candies"
9,1989-02-26 12:00:00,"1989-08",161626,1.19,1,"Frozen Juice"
9,1989-02-26 12:00:00,"1989-08",162477,1.82,1,"Bottled Juice"
9,1989-02-26 12:00:00,"1989-08",1326486,1.49,1,"Soft Drink"
10,1989-03-05 12:00:00,"1989-09",174732,0.575,1,"FrontEnd Candies"
10,1989-03-05 12:00:00,"1989-09",167627,1.02,1,"Frozen Juice"
10,1989-03-05 12:00:00,"1989-09",120599,1.76,1,"Bottled Juice"
